순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
395,029960,코엔텍,"8,850","0","0.0","300,655","2,661,663,670","8,840","8,960","8,820","442,500,000,000","0.02","50,000,000",,,
396,143160,아이디스,"41,150","200","0.5","198,704","8,192,223,900","41,300","42,050","40,250","440,979,448,500","0.02","10,716,390",,,
397,105630,한세실업,"11,000","50","0.5","114,003","1,259,552,250","11,000","11,200","10,850","440,000,000,000","0.02","40,000,000",,,
398,215000,골프존,"70,100","-1,000","-1.4","18,063","1,271,080,500","71,000","71,200","70,000","439,906,591,500","0.02","6,275,415",,,
399,050890,쏠리드,"8,410","250","3.1","5,551,020","45,989,981,320","8,060","8,480","7,920","438,877,321,750","0.02","52,185,175",,,
400,041140,넥슨지티,"12,350","-250","-2.0","490,212","6,054,258,350","12,600","12,650","12,250","436,860,526,700","0.02","35,373,322",,,
401,048260,오스템임플란트,"30,450","-750","-2.4","97,319","2,988,557,000","31,000","31,750","30,350","435,000,082,650","0.02","14,285,717",,,
402,267270,현대건설기계,"22,050","-300","-1.3","150,823","3,347,864,950","22,550","22,600","21,700","434,402,485,650","0.02","19,700,793",,,
403,089590,제주항공,"16,250","-300","-1.8","121,466","1,973,110,350","16,600","16,650","16,100","428,297,317,500","0.02","26,356,758",,,
404,059090,미코,"13,650","-250","-1.8","2,490,969","33,923,535,950","13,750","14,000","13,250","427,471,630,950","0.02","31,316,603",,,
405,122990,와이솔,"15,150","50","0.3","529,331","8,059,924,700","15,250","15,550","15,050","426,804,906,150","0.02","28,171,941",,,
406,319660,피에스케이,"28,800","1,900","7.1","1,154,093","32,766,121,550","27,500","29,150","27,100","425,232,576,000","0.02","14,765,020",,,
407,003220,대원제약,"21,000","1,800","9.4","4,624,512","95,581,808,200","21,250","22,000","19,400","425,115,663,000","0.02","20,243,603",,,
408,214610,미코바이오메드,"30,000","50","0.2","94,488","2,827,507,400","30,000","30,200","29,500","424,481,280,000","0.02","14,149,376",,,
409,001720,신영증권,"45,050","250","0.6","6,398","287,683,250","44,800","45,400","44,550","422,849,976,850","0.02","9,386,237",,,
410,082920,비츠로셀,"19,600","0","0.0","114,241","2,235,257,000","19,450","19,950","19,400","422,167,379,200","0.02","21,539,152",,,
411,006730,서부T&D,"7,260","-100","-1.4","523,745","3,798,276,350","7,350","7,360","7,210","422,099,623,440","0.02","58,140,444",,,
412,079160,CJ CGV,"19,900","-550","-2.7","289,871","5,829,323,950","20,450","20,450","19,900","421,110,128,700","0.02","21,161,313",,,
413,002390,한독,"30,500","450","1.5","185,259","5,636,661,750","30,050","31,250","29,500","419,787,756,500","0.02","13,763,533",,,
414,005070,코스모신소재,"14,350","-450","-3.0","1,473,601","21,045,105,600","14,600","14,700","14,150","419,708,297,750","0.02","29,247,965",,,
415,100130,동국S&C,"7,340","-220","-2.9","18,931,799","147,884,620,370","7,620","8,190","7,310","419,429,620,000","0.02","57,143,000",,,
416,046440,KG모빌리언스,"10,800","150","1.4","699,282","7,425,741,550","10,700","10,900","10,350","419,316,134,400","0.02","38,825,568",,,
417,216080,제테마,"23,900","-600","-2.4","173,733","4,147,337,250","24,600","24,650","23,700","418,191,492,800","0.02","17,497,552",,,
418,005500,삼진제약,"29,900","1,100","3.8","200,431","5,833,771,700","29,000","29,900","28,100","415,610,000,000","0.02","13,900,000",,,
419,001510,SK증권,"878","1","0.1","36,028,206","32,310,971,348","901","915","875","414,934,170,138","0.02","472,590,171",,,
420,033180,필룩스,"4,595","-105","-2.2","1,324,861","6,111,846,695","4,705","4,720","4,580","413,748,173,160","0.02","90,043,128",,,
421,039840,디오,"26,600","50","0.2","102,306","2,723,611,850","26,450","26,900","26,250","412,927,813,200","0.02","15,523,602",,,
422,023890,한국아트라스비엑스,"45,000","-700","-1.5","1,794","81,220,700","45,700","45,700","45,000","411,750,000,000","0.02","9,150,000",,,
423,004490,세방전지,"29,400","250","0.9","19,941","588,416,900","29,350","29,800","29,150","411,600,000,000","0.02","14,000,000",,,
424,263720,디앤씨미디어,"33,500","550","1.7","269,084","8,921,200,300","33,100","35,000","31,400","411,216,218,500","0.02","12,275,111",,,
425,027410,BGF,"4,295","-40","-0.9","105,212","453,961,225","4,340","4,345","4,295","411,103,617,345","0.02","95,716,791",,,
426,138250,엔에스쇼핑,"12,200","-100","-0.8","82,138","1,002,817,450","12,300","12,450","12,050","411,091,200,000","0.02","33,696,000",,,
427,071320,지역난방공사,"35,500","-900","-2.5","15,367","546,971,350","36,400","36,400","35,200","411,045,412,000","0.02","11,578,744",,,
428,030520,한글과컴퓨터,"16,800","-200","-1.2","267,155","4,493,015,100","17,050","17,150","16,550","410,597,359,200","0.02","24,440,319",,,
429,089030,테크윙,"21,250","-50","-0.2","486,594","10,251,290,300","21,150","21,300","20,650","410,524,202,500","0.02","19,318,786",,,
430,199800,툴젠,"62,500","1,500","2.5","8,242","509,648,700","61,200","62,500","60,600","409,953,062,500","0.02","6,559,249",,,
431,005880,대한해운,"16,700","-250","-1.5","79,049","1,315,886,550","16,950","16,950","16,500","407,932,720,300","0.02","24,427,109",,,
432,215200,메가스터디교육,"34,500","-800","-2.3","78,984","2,732,034,650","35,300","35,300","34,300","407,854,860,000","0.02","11,821,880",,,
433,001430,세아베스틸,"11,350","850","8.1","932,072","10,624,241,000","10,550","12,150","10,500","407,035,050,650","0.02","35,862,119",,,
434,079430,현대리바트,"19,700","-450","-2.2","353,095","7,005,772,400","20,000","20,600","19,450","404,545,055,400","0.02","20,535,282",,,
435,084680,이월드,"3,920","-65","-1.6","628,865","2,478,252,140","3,995","3,995","3,920","404,308,396,240","0.02","103,139,897",,,
436,268280,미원에스씨,"79,000","400","0.5","701","55,550,400","80,200","80,700","78,700","402,900,000,000","0.02","5,100,000",,,
437,025540,한국단자,"38,600","100","0.3","38,248","1,466,819,400","38,850","38,850","37,500","402,019,000,000","0.02","10,415,000",,,
438,015350,부산가스,"36,450","0","0.0","2,667","97,206,950","36,400","36,750","36,250","400,950,000,000","0.02","11,000,000",,,
439,011000,진원생명과학,"8,950","30","0.3","1,871,414","16,820,206,780","8,850","9,150","8,850","399,338,331,600","0.02","44,618,808",,,
440,033270,유나이티드제약,"24,600","-650","-2.6","636,047","15,565,105,350","25,600","25,650","23,900","399,302,821,200","0.02","16,231,822",,,
441,000815,삼성화재우,"125,000","-1,000","-0.8","16,126","2,028,282,500","126,000","127,000","124,500","399,000,000,000","0.02","3,192,000",,,
442,205470,휴마시스,"11,600","-350","-2.9","6,038,123","70,785,566,100","11,850","12,500","10,950","396,996,254,000","0.02","34,223,815",,,
443,053210,스카이라이프,"8,300","740","9.8","485,811","3,958,443,970","7,640","8,400","7,640","396,922,317,800","0.02","47,821,966",,,
444,314130,지놈앤컴퍼니,"47,050","-3,050","-6.1","5,458","259,664,400","49,500","50,000","47,000","396,450,216,350","0.02","8,426,147",,,
445,006060,화승인더,"7,140","110","1.6","861,589","6,205,687,490","7,050","7,330","7,050","394,984,800,000","0.02","55,320,000",,,
446,003530,한화투자증권,"1,840","20","1.1","1,225,474","2,275,447,555","1,830","1,880","1,820","394,767,906,000","0.02","214,547,775",,,
447,030530,원익홀딩스,"5,100","445","9.6","5,916,746","29,259,287,545","4,665","5,110","4,610","393,913,703,100","0.02","77,237,981",,,
448,053580,웹케시,"58,200","200","0.3","43,405","2,541,368,200","58,000","59,400","57,800","393,644,721,000","0.02","6,763,655",,,
449,078160,메디포스트,"25,150","300","1.2","163,563","4,083,229,150","24,800","25,350","24,600","392,788,726,300","0.02","15,617,842",,,
450,002780,진흥기업,"2,700","-140","-4.9","1,207,728","3,273,363,595","2,765","2,800","2,650","392,773,711,500","0.02","145,471,745",,,
451,010050,우리종금,"578","-1","-0.2","1,547,315","894,513,428","580","581","575","389,689,568,668","0.02","674,203,406",,,
452,140860,파크시스템스,"58,400","-300","-0.5","21,755","1,268,978,100","58,700","59,000","57,800","389,414,412,000","0.02","6,668,055",,,
453,025860,남해화학,"7,820","80","1.0","164,235","1,278,961,140","7,780","7,850","7,740","388,488,552,260","0.02","49,678,843",,,
454,119860,다나와,"29,650","500","1.7","66,354","1,953,797,900","29,000","29,650","28,850","387,668,472,300","0.02","13,074,822",,,
455,192440,슈피겐코리아,"62,000","200","0.3","64,623","3,983,277,500","61,800","62,600","61,000","385,414,506,000","0.02","6,216,363",,,
456,072710,농심홀딩스,"83,100","-500","-0.6","1,184","98,476,400","83,600","84,000","82,600","385,400,349,000","0.02","4,637,790",,,
457,002840,미원상사,"77,500","1,000","1.3","929","71,638,000","76,500","77,500","76,500","385,175,000,000","0.02","4,970,000",,,
458,039560,다산네트웍스,"12,000","750","6.7","3,346,924","39,661,467,600","11,400","12,200","11,250","384,939,456,000","0.02","32,078,288",,,
459,061970,엘비세미콘,"8,780","-10","-0.1","1,572,086","13,871,148,740","8,780","8,930","8,720","384,428,717,760","0.02","43,784,592",,,
460,017960,한국카본,"8,670","-170","-1.9","953,493","8,343,029,850","8,850","8,930","8,650","381,139,763,190","0.02","43,960,757",,,
461,102940,코오롱생명과학,"33,300","900","2.8","110,475","3,606,720,950","32,050","33,450","31,850","380,031,454,800","0.02","11,412,356",,,
462,099190,아이센스,"27,650","550","2.0","114,564","3,135,895,200","27,000","27,800","26,600","379,834,630,700","0.02","13,737,238",,,
463,008730,율촌화학,"15,300","0","0.0","77,064","1,170,250,400","15,350","15,350","15,100","379,440,000,000","0.02","24,800,000",,,
464,249420,일동제약,"15,900","900","6.0","404,177","6,287,146,350","15,300","16,050","14,850","378,472,231,500","0.02","23,803,285",,,
465,002270,롯데푸드,"334,000","-500","-0.2","2,647","885,487,000","334,500","338,000","333,000","378,044,580,000","0.02","1,131,870",,,
466,084110,휴온스글로벌,"32,600","650","2.0","55,395","1,795,748,500","32,100","32,800","31,750","373,730,540,200","0.02","11,464,127",,,
467,094800,맵스리얼티1,"4,015","-5","-0.1","35,330","141,757,845","4,000","4,050","4,000","372,729,838,965","0.02","92,834,331",,,
468,097780,에스맥,"1,425","50","3.6","23,088,729","32,546,644,875","1,380","1,440","1,360","372,132,482,850","0.02","261,145,602",,,
469,006405,삼성SDI우,"230,000","500","0.2","13,938","3,184,510,000","230,000","230,500","225,500","372,116,080,000","0.02","1,617,896",,,
470,014830,유니드,"41,800","400","1.0","42,014","1,763,411,900","41,700","42,850","41,400","371,595,437,400","0.02","8,889,843",,,
471,036930,주성엔지니어링,"7,700","0","0.0","2,266,911","17,719,783,220","7,600","8,030","7,560","371,518,932,400","0.02","48,249,212",,,
472,073490,이노와이어리스,"54,900","700","1.3","348,828","19,332,939,000","54,800","56,400","54,200","369,891,165,600","0.02","6,737,544",,,
473,007810,코리아써키트,"15,650","0","0.0","424,336","6,542,496,200","15,600","15,900","15,050","369,664,753,150","0.02","23,620,751",,,
474,038500,삼표시멘트,"3,435","40","1.2","2,063,381","7,177,411,955","3,365","3,565","3,365","368,771,889,255","0.02","107,357,173",,,
475,100120,뷰웍스,"36,800","-250","-0.7","51,032","1,862,643,300","37,050","37,050","36,050","368,068,632,000","0.02","10,001,865",,,
476,322000,현대에너지솔루션,"32,800","-950","-2.8","1,295,725","44,729,340,350","34,150","36,850","32,050","367,360,000,000","0.02","11,200,000",,,
477,074600,원익QnC,"13,950","-100","-0.7","611,647","8,542,721,400","14,100","14,350","13,700","366,717,600,000","0.02","26,288,000",,,
478,012610,경인양행,"8,940","60","0.7","1,248,522","11,194,438,140","8,900","9,160","8,750","365,702,903,100","0.02","40,906,365",,,
479,109820,진매트릭스,"18,400","-750","-3.9","7,666,644","141,229,017,350","19,350","19,750","17,450","365,700,662,400","0.02","19,875,036",,,
480,104830,원익머트리얼즈,"29,000","800","2.8","190,939","5,498,304,600","28,300","29,200","28,100","365,632,000,000","0.02","12,608,000",,,
481,298040,효성중공업,"39,200","1,500","4.0","1,000,292","40,489,094,300","37,700","42,650","37,700","365,522,281,600","0.02","9,324,548",,,
482,265520,AP시스템,"25,100","0","0.0","158,848","4,002,798,400","24,900","25,400","24,900","363,453,697,700","0.02","14,480,227",,,
483,290510,코리아센터,"15,100","200","1.3","184,623","2,734,050,100","14,850","15,200","14,550","362,868,824,800","0.02","24,031,048",,,
484,131290,티에스이,"32,800","900","2.8","69,139","2,239,239,500","32,100","33,100","31,500","362,814,871,200","0.02","11,061,429",,,
485,267260,현대일렉트릭,"10,000","280","2.9","1,618,750","15,996,421,800","9,690","10,300","9,490","360,471,350,000","0.02","36,047,135",,,
486,253840,수젠텍,"26,300","-150","-0.6","1,391,561","36,381,108,200","26,550","27,450","24,850","359,393,339,800","0.02","13,665,146",,,
487,293480,하나제약,"22,150","200","0.9","110,904","2,426,613,600","21,900","22,350","21,600","358,830,000,000","0.02","16,200,000",,,
488,093050,LF,"12,200","0","0.0","45,277","557,400,200","12,200","12,450","12,150","356,728,000,000","0.02","29,240,000",,,
489,123890,한국자산신탁,"2,875","-20","-0.7","407,485","1,187,201,020","2,895","2,955","2,875","356,436,037,000","0.02","123,977,752",,,
490,038540,상상인,"6,430","120","1.9","318,076","2,047,530,690","6,270","6,540","6,260","355,761,052,590","0.02","55,328,313",,,
491,298000,효성화학,"111,500","5,000","4.7","39,035","4,301,274,500","106,500","113,500","105,500","355,699,049,000","0.02","3,190,126",,,
492,089970,에이피티씨,"15,300","-200","-1.3","148,763","2,253,594,950","15,400","15,500","14,950","355,489,303,500","0.02","23,234,595",,,
493,044340,위닉스,"19,850","100","0.5","145,353","2,857,730,250","19,900","19,950","19,400","354,787,486,250","0.02","17,873,425",,,
494,293780,압타바이오,"32,100","1,600","5.2","350,043","11,060,254,300","30,900","32,200","30,700","353,621,079,300","0.02","11,016,233",,,
495,025770,한국정보통신,"9,390","-100","-1.0","47,708","446,104,360","9,450","9,490","9,310","351,601,704,690","0.02","37,444,271",,,
496,004700,조광피혁,"52,600","2,500","5.0","10,520","539,233,050","50,300","52,800","49,900","349,744,658,800","0.02","6,649,138",,,
497,019680,대교,"4,125","0","0.0","50,826","210,352,985","4,110","4,175","4,095","349,399,256,250","0.02","84,702,850",,,
498,078590,OQP,"4,630","180","4.0","2,023,496","9,354,012,400","4,450","4,760","4,385","348,547,941,790","0.02","75,280,333",,,
499,002620,제일파마홀딩스,"21,750","1,950","9.8","364,913","7,695,953,450","20,000","21,950","19,200","347,420,471,250","0.02","15,973,355",,,
500,175250,아이큐어,"47,500","-400","-0.8","327,559","15,586,088,950","46,850","49,000","46,500","346,802,155,000","0.02","7,301,098",,,
501,194700,노바렉스,"38,450","-400","-1.0","81,004","3,082,945,000","38,800","38,800","37,600","346,193,803,000","0.02","9,003,740",,,
502,034950,한국기업평가,"75,900","1,000","1.3","6,765","511,103,600","74,900","76,300","74,900","344,625,012,600","0.02","4,540,514",,,
503,293940,신한알파리츠,"6,580","10","0.2","78,359","513,470,970","6,540","6,720","6,500","344,332,209,340","0.02","52,330,123",,,
504,064550,바이오니아,"15,100","150","1.0","1,570,300","23,184,407,550","14,700","15,150","14,300","343,331,584,100","0.02","22,737,191",,,
505,229500,노브메타파마,"38,250","-50","-0.1","3,035","115,199,450","38,900","38,900","37,600","342,829,662,750","0.02","8,962,867",,,
506,213500,한솔제지,"14,400","200","1.4","81,848","1,172,816,650","14,250","14,450","14,150","342,728,294,400","0.02","23,800,576",,,
507,096760,JW홀딩스,"5,150","40","0.8","95,700","489,764,050","5,110","5,150","5,080","342,228,598,250","0.02","66,452,155",,,
508,017890,한국알콜,"15,800","-50","-0.3","599,250","9,482,134,100","15,850","16,100","15,600","341,371,008,000","0.02","21,605,760",,,
509,153710,옵티팜,"23,700","250","1.1","215,891","4,986,046,550","23,600","24,000","22,250","340,752,864,600","0.02","14,377,758",,,
510,300720,한일시멘트,"82,100","500","0.6","6,881","569,369,100","81,700","83,700","81,700","340,302,037,000","0.02","4,144,970",,,
511,017390,서울가스,"68,000","200","0.3","229","15,460,800","67,200","68,000","67,000","340,000,000,000","0.02","5,000,000",,,
512,068400,SK렌터카,"9,500","0","0.0","44,251","420,534,350","9,550","9,580","9,460","339,768,830,000","0.02","35,765,140",,,
513,088260,이리츠코크렙,"5,360","40","0.8","50,587","268,485,710","5,290","5,360","5,290","339,510,922,400","0.02","63,341,590",,,
514,066700,테라젠이텍스,"10,550","500","5.0","1,039,104","10,794,994,900","10,200","10,550","10,000","338,892,870,850","0.02","32,122,547",,,
515,084650,랩지노믹스,"30,200","1,150","4.0","4,139,842","123,321,172,100","29,500","31,200","27,850","337,148,602,200","0.02","11,163,861",,,
516,148150,세경하이테크,"28,950","-200","-0.7","215,882","6,297,556,200","29,350","29,550","28,900","337,035,900,000","0.02","11,642,000",,,
517,038290,마크로젠,"31,750","300","1.0","134,194","4,205,758,500","31,650","31,800","31,000","336,920,014,500","0.02","10,611,654",,,
518,000370,한화손해보험,"2,885","170","6.3","1,960,244","5,605,812,260","2,715","2,905","2,715","336,791,769,775","0.02","116,738,915",,,
519,025320,시노펙스,"4,625","-55","-1.2","30,846,024","145,061,754,835","4,605","4,970","4,375","335,595,217,000","0.02","72,561,128",,,
520,060150,인선이엔티,"8,680","-50","-0.6","629,156","5,514,946,190","8,780","8,890","8,670","333,236,327,760","0.02","38,391,282",,,
521,001200,유진투자증권,"3,435","-30","-0.9","1,065,955","3,724,492,910","3,480","3,585","3,400","332,736,145,830","0.02","96,866,418",,,
522,051370,인터플렉스,"14,250","-250","-1.7","377,251","5,369,714,500","14,650","14,700","14,100","332,416,476,000","0.02","23,327,472",,,
523,214870,뉴지랩,"12,650","-200","-1.6","420,494","5,309,081,500","13,000","13,000","12,500","332,181,384,700","0.02","26,259,398",,,
524,950200,소마젠(Reg.S),"19,700","-200","-1.0","3,724,403","75,471,474,550","19,450","21,750","18,950","332,166,841,700","0.02","16,861,261",,,
525,016800,퍼시스,"28,650","0","0.0","586","16,700,950","28,400","28,700","28,350","329,475,000,000","0.02","11,500,000",,,
526,004430,송원산업,"13,700","400","3.0","434,171","5,922,725,850","13,350","13,850","13,250","328,800,000,000","0.02","24,000,000",,,
527,228760,지노믹트리,"16,400","600","3.8","203,115","3,262,141,950","15,700","16,450","15,550","327,773,926,000","0.02","19,986,215",,,
528,321550,티움바이오,"13,950","-200","-1.4","225,879","3,161,930,450","14,150","14,200","13,850","327,431,972,700","0.02","23,471,826",,,
529,002240,고려제강,"16,300","200","1.2","90,773","1,489,587,700","16,200","16,750","16,000","326,000,000,000","0.02","20,000,000",,,
530,183300,코미코,"37,100","-100","-0.3","63,528","2,363,307,350","37,200","37,750","36,450","325,552,500,000","0.02","8,775,000",,,
531,222080,씨아이에스,"5,750","-200","-3.4","2,532,500","14,653,017,240","5,850","5,930","5,720","323,906,619,500","0.02","56,331,586",,,
532,228670,레이,"48,650","-300","-0.6","85,819","4,141,101,150","49,050","49,050","47,550","323,681,439,550","0.02","6,653,267",,,
533,013120,동원개발,"3,560","75","2.2","182,219","645,970,155","3,465","3,590","3,465","323,276,836,000","0.02","90,808,100",,,
534,037560,LG헬로비전,"4,130","15","0.4","129,303","537,331,960","4,095","4,220","4,085","319,855,552,450","0.02","77,446,865",,,
535,206650,유바이오로직스,"11,500","2,630","29.6","12,827,438","134,616,621,860","8,840","11,500","8,430","319,567,761,500","0.02","27,788,501",,,
536,039440,에스티아이,"20,100","3,050","17.9","6,861,121","133,401,623,500","17,200","20,900","17,100","318,183,000,000","0.02","15,830,000",,,
537,002210,동성제약,"12,200","-50","-0.4","175,965","2,129,127,350","12,250","12,300","12,000","318,063,125,600","0.02","26,070,748",,,
538,023410,유진기업,"4,095","245","6.4","3,593,912","14,619,966,235","3,875","4,235","3,865","316,587,983,985","0.02","77,310,863",,,
539,207760,미스터블루,"12,900","-250","-1.9","548,577","7,097,241,750","13,250","13,300","12,750","316,243,551,600","0.02","24,515,004",,,
540,226950,올릭스,"48,000","1,400","3.0","139,994","6,564,721,700","47,000","48,150","45,800","315,308,208,000","0.02","6,568,921",,,
541,137400,피엔티,"14,500","400","2.8","659,367","9,346,329,100","14,000","14,500","13,800","314,874,228,000","0.02","21,715,464",,,
542,093320,케이아이엔엑스,"64,500","2,100","3.4","84,794","5,413,675,800","62,500","64,700","62,100","314,760,000,000","0.02","4,880,000",,,
543,195870,해성디에스,"18,400","100","0.6","224,057","4,087,855,650","18,000","18,500","17,950","312,800,000,000","0.02","17,000,000",,,
544,086390,유니테스트,"14,750","-100","-0.7","658,190","9,713,196,200","14,750","15,000","14,500","311,728,358,500","0.02","21,134,126",,,
545,084690,대상홀딩스,"8,600","-150","-1.7","505,017","4,414,634,600","9,020","9,170","8,510","311,427,826,800","0.02","36,212,538",,,
546,232140,와이아이케이,"4,900","250","5.4","2,554,550","12,564,926,895","4,760","5,070","4,715","311,230,453,100","0.02","63,516,419",,,
547,272450,진에어,"10,350","-150","-1.4","107,616","1,118,201,150","10,550","10,550","10,250","310,500,000,000","0.02","30,000,000",,,
548,018290,브이티지엠피,"9,120","-20","-0.2","368,321","3,382,536,870","9,130","9,350","9,080","310,098,978,720","0.02","34,002,081",,,
549,001725,신영증권우,"43,850","-100","-0.2","576","25,308,100","44,000","44,150","43,500","309,307,507,550","0.02","7,053,763",,,
550,237880,클리오,"18,000","-400","-2.2","101,618","1,843,696,300","18,300","18,500","17,800","308,701,584,000","0.02","17,150,088",,,
551,052020,에스티큐브,"10,150","-100","-1.0","485,066","4,934,786,050","10,350","10,400","10,000","308,407,841,350","0.02","30,385,009",,,
552,023900,풍국주정,"24,400","-300","-1.2","168,861","4,152,792,250","24,750","24,950","24,400","307,440,000,000","0.02","12,600,000",,,
553,000050,경방,"11,200","-200","-1.8","23,901","269,366,950","11,400","11,450","11,200","307,051,024,000","0.02","27,415,270",,,
554,002960,한국쉘석유,"236,000","0","0.0","1,478","348,475,500","236,500","238,000","234,500","306,800,000,000","0.02","1,300,000",,,
555,087010,펩트론,"20,000","400","2.0","246,550","4,773,625,650","19,600","20,000","19,050","306,530,000,000","0.02","15,326,500",,,
556,029460,케이씨,"22,600","600","2.7","121,136","2,724,185,700","21,900","22,850","21,700","306,321,394,400","0.02","13,554,044",,,
557,004690,삼천리,"75,500","300","0.4","9,389","705,280,200","74,700","75,800","74,500","306,154,387,500","0.02","4,055,025",,,
558,043150,바텍,"20,500","100","0.5","56,147","1,150,962,450","20,350","20,700","20,350","304,512,248,000","0.02","14,854,256",,,
559,136480,하림,"2,865","15","0.5","632,205","1,800,761,055","2,875","2,875","2,820","304,290,796,230","0.02","106,209,702",,,
560,121600,나노신소재,"27,950","1,350","5.1","1,037,867","28,363,295,750","26,800","28,300","26,050","303,210,907,350","0.02","10,848,333",,,
561,122900,아이마켓코리아,"8,430","-70","-0.8","85,887","724,743,120","8,570","8,570","8,380","303,002,356,200","0.02","35,943,340",,,
562,052710,아모텍,"30,900","-300","-1.0","147,358","4,573,654,450","31,200","31,900","30,600","301,071,245,400","0.02","9,743,406",,,
563,077500,유니퀘스트,"11,050","450","4.2","744,972","8,061,446,550","10,650","11,150","10,400","301,012,773,750","0.02","27,240,975",,,
564,234080,JW생명과학,"19,000","-300","-1.6","288,465","5,522,825,250","19,650","19,650","18,800","300,856,526,000","0.02","15,834,554",,,
565,143240,사람인에이치알,"25,800","-400","-1.5","29,932","773,065,750","26,000","26,050","25,650","300,808,985,400","0.02","11,659,263",,,
566,095340,ISC,"21,250","-1,200","-5.4","1,527,949","33,932,344,300","22,250","23,600","21,000","300,528,295,000","0.02","14,142,508",,,
567,244460,올리패스,"18,800","0","0.0","192,731","3,616,857,550","18,750","19,100","18,200","300,217,218,800","0.02","15,969,001",,,
568,298060,에스씨엠생명과학,"25,500","-100","-0.4","392,657","9,994,165,250","25,400","26,050","24,950","298,981,737,000","0.02","11,724,774",,,
569,239610,에이치엘사이언스,"58,100","3,200","5.8","93,137","5,288,089,800","55,200","58,100","55,100","298,758,798,800","0.02","5,142,148",,,
570,095720,웅진씽크빅,"2,530","-35","-1.4","319,216","810,489,190","2,550","2,570","2,510","297,026,027,760","0.02","117,401,592",,,
571,950180,SNK,"14,100","-300","-2.1","64,067","909,493,350","14,450","14,450","14,050","296,971,380,000","0.02","21,061,800",,,
572,034120,SBS,"16,250","-50","-0.3","52,638","857,057,400","16,350","16,400","16,200","296,604,457,500","0.02","18,252,582",,,
573,058650,세아홀딩스,"74,100","1,400","1.9","210","15,570,700","72,700","74,500","72,700","296,400,000,000","0.02","4,000,000",,,
574,131390,피앤이솔루션,"19,900","50","0.2","444,620","8,851,804,850","19,950","20,150","19,600","294,896,309,000","0.02","14,818,910",,,
575,000480,조선내화,"73,300","600","0.8","1,029","74,956,600","72,700","73,400","72,500","293,200,000,000","0.02","4,000,000",,,
576,010170,대한광통신,"3,975","-75","-1.8","2,505,520","10,073,500,895","4,070","4,100","3,970","293,122,959,375","0.02","73,741,625",,,
577,065680,우주일렉트로,"29,500","1,600","5.7","170,023","4,924,813,500","27,350","29,500","27,350","293,059,490,000","0.02","9,934,220",,,
578,174900,앱클론,"40,650","1,900","4.9","358,914","14,146,080,350","38,950","40,650","37,800","292,517,400,000","0.02","7,196,000",,,
579,003070,코오롱글로벌,"11,600","1,500","14.8","1,956,963","22,338,174,380","10,150","12,500","9,990","292,441,080,800","0.02","25,210,438",,,
580,060980,한라홀딩스,"27,700","50","0.2","37,750","1,052,045,350","27,850","28,200","27,600","290,076,339,000","0.02","10,472,070",,,
581,002100,경농,"13,350","0","0.0","346,946","4,599,683,900","13,150","13,600","13,000","289,584,862,500","0.02","21,691,750",,,
582,094280,효성ITX,"25,050","600","2.4","70,417","1,746,327,300","24,700","25,100","24,300","289,532,910,000","0.02","11,558,200",,,
583,016580,환인제약,"15,500","450","3.0","190,488","2,897,161,900","15,050","15,500","14,900","288,301,085,000","0.02","18,600,070",,,
584,011040,경동제약,"10,850","100","0.9","1,693,955","18,202,783,500","11,450","11,450","10,150","288,067,500,000","0.02","26,550,000",,,
585,060570,드림어스컴퍼니,"5,060","-20","-0.4","125,594","636,024,120","5,070","5,140","5,030","287,710,825,820","0.02","56,859,847",,,
586,065530,전파기지국,"5,440","-50","-0.9","3,023,317","16,791,265,840","5,660","5,670","5,440","287,558,400,000","0.02","52,860,000",,,
587,152330,코리아오토글라스,"14,300","0","0.0","44,749","641,336,800","14,400","14,550","14,200","286,000,000,000","0.02","20,000,000",,,
588,039860,나노엔텍,"10,650","200","1.9","3,421,859","37,422,765,000","11,100","11,300","10,500","285,025,172,550","0.02","26,762,927",,,
589,035810,이지홀딩스,"5,120","250","5.1","4,090,055","20,649,045,680","4,900","5,200","4,860","284,879,989,760","0.02","55,640,623",,,
590,001520,동양,"1,190","15","1.3","1,596,446","1,907,774,965","1,175","1,235","1,170","284,034,034,970","0.02","238,684,063",,,
591,078020,이베스트투자증권,"5,110","40","0.8","247,242","1,264,809,180","5,070","5,150","5,050","283,508,880,900","0.02","55,481,190",,,
592,208340,파멥신,"20,400","-500","-2.4","345,147","7,042,199,600","21,000","21,000","20,100","282,600,955,200","0.02","13,852,988",,,
593,166480,코아스템,"17,900","1,100","6.6","351,391","6,212,290,900","16,500","18,300","16,500","281,342,176,000","0.02","15,717,440",,,
594,040910,아이씨디,"15,700","-450","-2.8","448,627","7,100,930,450","16,100","16,150","15,650","279,502,311,500","0.02","17,802,695",,,
595,011930,신성이엔지,"1,520","105","7.4","34,127,874","50,928,091,300","1,440","1,535","1,420","277,902,005,840","0.02","182,830,267",,,
596,256940,케이피에스,"18,250","700","4.0","647,382","12,038,179,000","17,450","19,250","17,100","277,647,981,000","0.02","15,213,588",,,
597,344820,케이씨씨글라스,"33,200","-50","-0.2","98,241","3,260,368,250","33,300","33,650","32,700","277,226,972,000","0.02","8,350,210",,,
