순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
213,003230,삼양식품,"123,000","-1,500","-1.2","86,879","10,666,008,000","124,500","124,500","121,500","926,560,845,000","0.05","7,533,015",,,
214,036540,SFA반도체,"5,590","-20","-0.4","3,037,063","16,966,917,530","5,620","5,650","5,530","919,333,093,770","0.05","164,460,303",,,
215,178920,PI첨단소재,"31,300","250","0.8","253,414","7,822,434,300","31,050","31,350","30,400","919,165,878,600","0.05","29,366,322",,,
216,001680,대상,"26,500","650","2.5","321,353","8,405,790,550","25,800","26,600","25,750","918,172,662,500","0.05","34,648,025",,,
217,214150,클래시스,"14,050","0","0.0","149,390","2,078,284,700","14,050","14,050","13,700","909,163,810,400","0.05","64,709,168",,,
218,025980,아난티,"10,550","0","0.0","2,965,701","31,191,214,550","10,550","10,700","10,350","895,202,409,950","0.05","84,853,309",,,
219,330590,롯데리츠,"5,170","0","0.0","356,559","1,845,698,780","5,190","5,200","5,150","889,079,130,280","0.05","171,968,884",,,
220,066970,엘앤에프,"35,900","-400","-1.1","486,242","17,242,313,350","36,150","36,200","35,100","888,838,371,100","0.05","24,758,729",,,
221,139130,DGB금융지주,"5,230","-50","-1.0","1,112,126","5,914,273,590","5,350","5,450","5,230","884,632,706,590","0.05","169,145,833",,,
222,006120,SK디스커버리,"46,250","10,650","29.9","3,076,408","139,087,700,650","42,450","46,250","41,850","880,500,793,750","0.05","19,037,855",,,
223,067630,에이치엘비생명과학,"18,650","-350","-1.8","391,898","7,384,020,750","19,100","19,200","18,600","877,863,948,450","0.05","47,070,453",,,
224,003690,코리안리,"7,260","80","1.1","435,565","3,155,515,530","7,240","7,300","7,180","873,879,782,160","0.05","120,369,116",,,
225,073240,금호타이어,"3,035","10","0.3","591,126","1,802,820,980","3,020","3,090","3,010","871,834,971,045","0.05","287,260,287",,,
226,215600,신라젠,"12,100","0","0.0","0","0","0","0","0","866,567,212,500","0.05","71,617,125",,,
227,046890,서울반도체,"14,600","-100","-0.7","886,303","13,034,287,100","14,600","14,900","14,500","851,258,840,000","0.05","58,305,400",,,
228,020560,아시아나항공,"3,810","-25","-0.6","1,223,261","4,670,031,340","3,855","3,870","3,805","850,526,470,140","0.05","223,235,294",,,
229,086520,에코프로,"38,200","5,150","15.6","4,623,979","168,590,043,050","33,000","38,700","32,650","843,845,296,200","0.05","22,090,191",,,
230,307950,현대오토에버,"40,000","-1,100","-2.7","40,928","1,672,510,750","41,150","42,000","39,700","840,000,000,000","0.05","21,000,000",,,
231,001800,오리온홀딩스,"13,300","-50","-0.4","82,581","1,099,877,150","13,350","13,400","13,200","833,184,112,600","0.05","62,645,422",,,
232,039200,오스코텍,"28,500","750","2.7","664,868","18,855,944,700","28,250","28,750","27,700","832,208,863,500","0.05","29,200,311",,,
233,268600,셀리버리,"102,000","2,900","2.9","231,360","23,307,289,400","99,100","103,000","98,700","832,024,914,000","0.05","8,157,107",,,
234,005300,롯데칠성,"104,000","-1,000","-1.0","23,161","2,406,955,500","106,000","106,500","103,000","831,319,840,000","0.05","7,993,460",,,
235,081000,일진다이아,"57,700","-1,600","-2.7","473,516","27,794,665,700","59,100","59,800","57,700","819,511,657,500","0.05","14,202,975",,,
236,114090,GKL,"13,200","0","0.0","273,414","3,613,513,150","13,250","13,350","13,100","816,494,844,000","0.05","61,855,670",,,
237,006650,대한유화,"125,000","4,000","3.3","90,508","11,483,438,000","122,000","130,000","121,000","812,500,000,000","0.04","6,500,000",,,
238,213420,덕산네오룩스,"33,800","-1,150","-3.3","291,282","9,876,115,000","34,700","34,750","33,650","811,538,405,600","0.04","24,010,012",,,
239,088800,에이스테크,"19,750","450","2.3","4,741,024","96,537,862,650","19,350","21,300","19,050","808,919,078,000","0.04","40,957,928",,,
240,005440,현대그린푸드,"8,260","0","0.0","304,770","2,541,563,140","8,260","8,470","8,220","807,039,021,320","0.04","97,704,482",,,
241,020000,한섬,"32,600","-50","-0.2","96,003","3,140,657,900","32,800","33,450","32,350","802,938,000,000","0.04","24,630,000",,,
242,034310,NICE,"21,100","-300","-1.4","30,337","643,863,850","21,500","21,500","21,100","799,316,530,000","0.04","37,882,300",,,
243,284740,쿠쿠홈시스,"35,300","-1,250","-3.4","56,762","2,025,343,400","36,550","36,750","35,250","792,037,749,000","0.04","22,437,330",,,
244,183490,엔지켐생명과학,"96,000","1,900","2.0","139,444","13,190,372,000","94,600","96,100","92,300","789,552,768,000","0.04","8,224,508",,,
245,003240,태광산업,"706,000","5,000","0.7","948","670,394,000","702,000","714,000","699,000","786,060,400,000","0.04","1,113,400",,,
246,170900,동아에스티,"92,900","1,200","1.3","24,811","2,300,469,800","91,500","93,300","91,400","784,435,337,200","0.04","8,443,868",,,
247,101490,에스앤에스텍,"39,650","1,250","3.3","683,174","27,400,721,600","38,750","41,450","38,400","782,505,874,150","0.04","19,735,331",,,
248,000150,두산,"47,250","-1,450","-3.0","724,125","35,473,259,100","49,150","52,300","46,850","780,751,203,750","0.04","16,523,835",,,
249,290650,엘앤씨바이오,"106,700","13,300","14.2","267,418","27,345,330,400","92,400","107,800","92,300","778,092,251,200","0.04","7,292,336",,,
250,090460,비에이치,"23,100","-550","-2.3","1,737,766","40,424,383,350","23,650","23,850","22,800","761,906,052,600","0.04","32,982,946",,,
251,057050,현대홈쇼핑,"63,300","-1,300","-2.0","43,851","2,800,451,500","64,400","64,800","63,000","759,600,000,000","0.04","12,000,000",,,
252,001060,JW중외제약,"36,050","800","2.3","223,424","7,912,448,050","35,250","36,150","34,700","754,167,946,700","0.04","20,920,054",,,
253,093370,후성,"8,140","-140","-1.7","853,973","6,963,679,230","8,270","8,270","8,110","753,819,506,660","0.04","92,606,819",,,
254,214370,케어젠,"70,000","4,200","6.4","104,660","7,245,846,000","66,600","72,300","66,500","752,010,000,000","0.04","10,743,000",,,
255,071840,롯데하이마트,"31,600","-300","-0.9","88,470","2,816,225,600","32,100","32,200","31,500","746,003,699,200","0.04","23,607,712",,,
256,003850,보령제약,"15,650","300","2.0","409,366","6,312,265,550","15,450","15,700","15,150","745,253,000,000","0.04","47,620,000",,,
257,026890,디피씨,"17,800","800","4.7","5,944,283","103,407,124,600","16,650","17,800","16,400","741,871,515,000","0.04","41,678,175",,,
258,108320,실리콘웍스,"45,550","-1,200","-2.6","171,934","7,912,218,900","46,500","47,100","45,400","740,838,865,000","0.04","16,264,300",,,
259,049770,동원F&B,"190,000","-1,000","-0.5","4,997","949,220,500","191,000","191,500","187,500","733,233,560,000","0.04","3,859,124",,,
260,017810,풀무원,"19,200","200","1.0","149,130","2,834,572,850","18,950","19,300","18,650","731,346,240,000","0.04","38,090,950",,,
261,041510,에스엠,"31,000","-1,750","-5.3","1,182,250","37,050,218,750","32,550","32,550","30,750","726,934,531,000","0.04","23,449,501",,,
262,204270,제이앤티씨,"12,500","-50","-0.4","681,528","8,571,129,650","12,450","12,900","12,400","723,105,825,000","0.04","57,848,466",,,
263,067160,아프리카TV,"62,800","-1,700","-2.6","131,411","8,299,337,000","64,500","64,800","62,600","721,871,367,600","0.04","11,494,767",,,
264,145020,휴젤,"166,700","-5,000","-2.9","56,451","9,434,610,400","175,000","175,000","165,800","720,104,825,500","0.04","4,319,765",,,
265,178320,서진시스템,"39,750","-750","-1.8","783,963","31,697,672,450","40,650","41,900","39,300","719,501,473,500","0.04","18,100,666",,,
266,092190,서울바이오시스,"18,800","-200","-1.0","542,219","10,265,499,800","19,000","19,300","18,650","718,604,676,400","0.04","38,223,653",,,
267,033640,네패스,"31,100","100","0.3","912,641","28,710,048,700","31,250","32,050","31,000","717,141,182,200","0.04","23,059,202",,,
268,006040,동원산업,"195,000","-1,000","-0.5","2,201","430,520,000","197,000","197,500","194,500","717,139,995,000","0.04","3,677,641",,,
269,192650,드림텍,"11,500","-450","-3.8","5,677,203","68,495,814,900","11,900","12,600","11,500","713,514,280,000","0.04","62,044,720",,,
270,084370,유진테크,"30,850","350","1.2","258,956","7,899,692,700","30,700","31,050","30,000","706,959,895,700","0.04","22,916,042",,,
271,018670,SK가스,"76,500","200","0.3","14,831","1,144,862,900","78,000","78,300","76,300","706,113,666,000","0.04","9,230,244",,,
272,271980,제일약품,"48,000","2,850","6.3","426,705","19,662,348,200","45,150","48,000","43,700","705,833,856,000","0.04","14,704,872",,,
273,001440,대한전선,"823","26","3.3","8,275,014","6,689,661,285","797","834","781","704,877,286,407","0.04","856,473,009",,,
274,115450,지트리비앤티,"27,300","200","0.7","323,331","8,756,970,200","26,950","27,500","26,550","704,498,148,900","0.04","25,805,793",,,
275,079550,LIG넥스원,"32,000","0","0.0","56,677","1,817,336,650","31,900","32,300","31,750","704,000,000,000","0.04","22,000,000",,,
276,028150,GS홈쇼핑,"107,100","-400","-0.4","19,411","2,084,490,600","107,300","108,300","107,000","702,843,750,000","0.04","6,562,500",,,
277,078130,국일제지,"5,560","-50","-0.9","1,871,688","10,455,679,580","5,610","5,650","5,560","702,497,015,040","0.04","126,348,384",,,
278,122870,와이지엔터테인먼트,"38,350","-650","-1.7","259,228","9,957,314,700","39,000","39,100","38,050","698,154,425,150","0.04","18,204,809",,,
279,092040,아미코젠,"36,250","900","2.6","290,774","10,390,479,450","35,500","36,600","34,850","696,254,112,500","0.04","19,207,010",,,
280,280360,롯데제과,"108,000","-500","-0.5","7,647","822,649,000","108,000","108,500","107,000","693,005,436,000","0.04","6,416,717",,,
281,022100,포스코 ICT,"4,545","-90","-1.9","651,130","2,970,935,960","4,635","4,640","4,525","690,997,843,305","0.04","152,034,729",,,
282,103140,풍산,"24,650","2,050","9.1","2,150,956","53,285,196,300","22,850","26,300","22,800","690,798,452,700","0.04","28,024,278",,,
283,069260,휴켐스,"16,550","-400","-2.4","204,328","3,418,514,500","17,100","17,200","16,500","676,540,631,400","0.04","40,878,588",,,
284,102710,이엔에프테크놀로지,"47,000","3,000","6.8","465,230","21,582,963,550","44,050","48,000","43,450","668,708,292,000","0.04","14,227,836",,,
285,138080,오이솔루션,"62,800","-300","-0.5","467,471","29,660,190,300","63,300","65,000","62,400","667,193,166,000","0.04","10,624,095",,,
286,210980,SK디앤디,"35,000","-600","-1.7","281,312","9,981,911,900","36,200","36,300","34,550","664,655,740,000","0.04","18,990,164",,,
287,009450,경동나비엔,"51,700","-1,100","-2.1","63,789","3,286,515,500","52,700","52,800","51,100","658,632,667,000","0.04","12,739,510",,,
288,003380,하림지주,"7,120","-60","-0.8","194,438","1,412,172,430","7,160","7,420","7,120","657,473,758,400","0.04","92,341,820",,,
289,241590,화승엔터프라이즈,"10,850","100","0.9","265,443","2,875,225,100","10,750","11,050","10,650","656,822,869,500","0.04","60,536,670",,,
290,230360,에코마케팅,"40,500","1,200","3.0","195,763","7,881,619,650","39,300","40,650","39,200","656,056,948,500","0.04","16,198,937",,,
291,033660,아주캐피탈,"11,400","-100","-0.9","25,571","292,370,300","11,400","11,600","11,400","656,023,146,000","0.04","57,545,890",,,
292,090435,아모레퍼시픽우,"62,000","-1,100","-1.7","39,472","2,460,497,100","63,400","63,400","62,000","654,585,460,000","0.04","10,557,830",,,
293,108230,톱텍,"17,150","-250","-1.4","629,316","10,734,228,650","17,500","17,500","16,850","652,098,651,750","0.04","38,023,245",,,
294,052690,한전기술,"17,000","100","0.6","114,419","1,926,428,500","17,000","17,050","16,550","649,740,000,000","0.04","38,220,000",,,
295,097520,엠씨넥스,"36,300","500","1.4","752,452","26,963,231,450","35,800","36,350","35,400","648,444,396,600","0.04","17,863,482",,,
296,035600,KG이니시스,"23,100","50","0.2","241,699","5,561,969,350","23,150","23,250","22,650","644,592,425,400","0.04","27,904,434",,,
297,053800,안랩,"64,000","300","0.5","172,175","10,858,006,600","62,900","64,200","62,000","640,886,720,000","0.04","10,013,855",,,
298,001880,대림건설,"29,000","-750","-2.5","126,565","3,743,383,450","29,700","30,100","28,850","639,545,236,000","0.04","22,053,284",,,
299,008490,서흥,"55,000","-300","-0.5","91,242","4,960,134,300","55,300","55,400","53,600","636,301,215,000","0.04","11,569,113",,,
300,032620,유비케어,"12,050","-300","-2.4","1,478,974","18,080,956,850","12,400","12,500","12,050","628,975,524,950","0.03","52,197,139",,,
301,112040,위메이드,"37,200","-500","-1.3","82,173","3,042,332,800","37,400","37,700","36,700","624,960,000,000","0.03","16,800,000",,,
302,002320,한진,"52,000","-200","-0.4","72,196","3,746,351,900","52,200","52,700","51,200","622,682,112,000","0.03","11,974,656",,,
303,353200,대덕전자,"12,600","900","7.7","15,233,904","193,179,409,550","11,700","13,300","11,450","622,653,255,000","0.03","49,416,925",,,
304,078070,유비쿼스홀딩스,"33,200","-250","-0.8","72,072","2,406,983,150","33,450","33,950","33,100","620,728,049,600","0.03","18,696,628",,,
305,000640,동아쏘시오홀딩스,"100,500","1,300","1.3","27,351","2,734,465,300","98,800","101,000","98,800","616,898,848,500","0.03","6,138,297",,,
306,000070,삼양홀딩스,"71,700","-12,200","-14.5","343,784","26,200,891,300","80,200","81,700","71,700","614,058,230,700","0.03","8,564,271",,,
307,145990,삼양사,"59,500","4,600","8.4","1,196,716","74,649,680,000","64,800","68,800","55,600","613,650,215,500","0.03","10,313,449",,,
308,018250,애경산업,"23,050","-100","-0.4","42,276","970,652,200","23,200","23,200","22,750","608,749,001,750","0.03","26,409,935",,,
309,005180,빙그레,"61,700","-1,000","-1.6","27,686","1,712,251,300","62,500","62,600","61,400","607,821,569,700","0.03","9,851,241",,,
310,008350,남선알미늄,"5,500","-100","-1.8","4,444,412","24,611,448,180","5,620","5,630","5,460","605,984,995,000","0.03","110,179,090",,,
311,001230,동국제강,"6,340","200","3.3","2,349,932","14,864,181,840","6,180","6,440","6,050","605,043,552,580","0.03","95,432,737",,,
